Référence Article;Désignation Article;Ar Nomencl;Code - Intitulé Famille;Qté Vendues;PU;Chiffre d'affaires HT;Marge (%);Prix Revient Total;Marge
305000;POMPE GASOIL E80/M 230V ;0;PIUSIPOMPE - Equipement;27;2959,81;79915;37,32;50089,46;29825,54
000305000/K33;POMPE GASOIL E80 230V AV COMPTEUR K33;2;PIUSIPOMPE - Equipement;3;4900;14700;28,34;10533,85;4166,15
000326000/K33PIST;POMPE GASOIL E120 COMPLET AVEC COMPTEUR K33 ET PISTOLET AUT ET FLEXIB;2;PIUSIPOMPE - Equipement;5;6600;33000;43,21;18741,1;14258,9
00050300A;POMPE ELECTRIQUE DEPUROIL M230V/50HZ;0;PIUSIPOMPE - Equipement;1;8943,75;8943,75;5,81;8424,19;519,56
550000;COMPTEUR K33;0;PIUSIPOMPE - Equipement;7;985;6895;29,65;4850,67;2044,33
560000;COMPTEUR K44(4 CHIFFRES);0;PIUSIPOMPE - Equipement;7;1457,14;10200;38,52;6271,1;3928,9
36303;POMPE BI-POMPE 24V AVEC CABLE 2m;0;PIUSIPOMPE - Equipement;6;3666,67;22000;33,92;14537,14;7462,86
0036303/IMP;POMPE BI-POMPE 24V ;2;PIUSIPOMPE - Equipement;1;3800;3800;26,4;2796,95;1003,05
0036306/COMP.K44;POMPE DE DISTRIBUTION GASOIL 24V AV COMPTEUR K44;2;PIUSIPOMPE - Equipement;1;5250;5250;23,69;4006,13;1243,87
0036306CPL;POMPE GASOIL B-I POMPE 24VOLT COMPLET;2;PIUSIPOMPE - Equipement;4;4200;16800;14,24;14406,93;2393,07
0045200I;RONDELLE PLATE DIN125 D10 INOX;0;ISTOBTUNPD - PDR Tunnel de lavage;224;2,85;638,4;48,2;330,72;307,68
004.884.72;RACCORD TOURNANT POUR PIOSTOLET ZZ9A1;0;HALADJPDR - HALADJAN PIECES DE RECHANGES;8;3800;30400;39,19;18484,73;11915,27
004.886.91;PISTOLET DISTRIBUTION ZZ9A1;0;HALADJPIST - HALADJAN PISTOLET;8;36192,5;289540;36,51;183820,01;105719,99
008.365;ASPIRATEUR 2 MOTEURS SM80 3HP F;0;BIEMMESERV - MATERIEL SERVICING;8;3937,5;31500;27,14;22951,8;8548,2
008.367;ASPIRATEUR 3 MOTEURS INOX;0;BIEMMESERV - MATERIEL SERVICING;1;5025;5025;48,04;2610,75;2414,25
0108-191;ACCESSOIRES D’INSTALLAION D’UNE SIGNALISATION POUR DETECTION EXTINCTI;2;ALMACOMPEQ - Compteur ALMA;1;35500;35500;59,24;14469,15;21030,85
0147200I;FLAT WASHER;0;ISTOBTUNPD - PDR Tunnel de lavage;40;2,85;114;53,61;52,88;61,12
01CR0046;Cryogenic Relief Valve PRV9434T Setting 290PSI;0;KROCHDIVPR - Divers PDR;1;483,09;483,09;51,02;236,63;246,46
01SP03;NETTOYEUR EAU CHAUDE;0;BIEMMESERV - MATERIEL SERVICING;7;23035,71;161250;26,08;119201,78;42048,22
02.06.03.038/PIST;FLEXIBLE TRANSFERT GASOIL DN 38 - L. 40MT  MF AVEC PISTOLET  ZVA438.3;2;RACCORD - RACCORD LOCAL;1;18950;18950;26,81;13868,56;5081,44
0240200I;BOULON DIN 912 M6X20-INOX;0;ISTOBTUNPD - PDR Tunnel de lavage;4;2,85;11,4;45,35;6,23;5,17
0250700I;RONDELLE PLATE DIN125 D12 INOX;0;ISTOBTUNPD - PDR Tunnel de lavage;2;0;0;#DIV/0;2,71;-2,71
02.6.03.038;"FLEXIBLE HYDRAUCARBURE LONG.40M DIAM.1""1/2";0;FLEXIBLE - FLEXIBLES LOCAUX;5;3160;15800;-155,48;40365,35;-24565,35
02.6.03.038LM/RAC;"FLEXIBLE HYDROCARBURE 1""1/2 AV RACCORD M/F";2;FLEXIBLE - FLEXIBLES LOCAUX;5;4700;23500;62,7;8765,8;14734,2
0271300I;BOULON DIN 933 M 8X20-INOX;0;ISTOBTUNPD - PDR Tunnel de lavage;24;2,85;68,4;48,14;35,47;32,93
0296700I;RONDELLE PLATE DIN125 D5 INOX;0;ISTOBTUNPD - PDR Tunnel de lavage;12;2,85;34,2;48,19;17,72;16,48
0300700I;BOULON DIN 933 M 8X 16-INOX;0;ISTOBTUNPD - PDR Tunnel de lavage;16;2,85;45,6;47,37;24;21,6
0315500I;BOULON DIN 933 M 6X 16-INOX;0;ISTOBTUNPD - PDR Tunnel de lavage;16;2,85;45,6;47,37;24;21,6
033022-180;Tube CZ27 CSM;0;PCMPOMPPR - PDR Pompe PCM;4;2050;8200;53,92;3778,73;4421,27
034.274.13;BAC DE RETENTION PE 1260L CAIL.PLAST;0;FUT - Fut;3;11700;35100;23,08;27000;8100
0363600I;RONDELLE RESSORT DIN127 D8 INOX;0;ISTOBTUNPD - PDR Tunnel de lavage;40;2,85;114;53,61;52,88;61,12
0390500I;RONDEL RESSORT DIN127 D10 INOX;0;ISTOBTUNPD - PDR Tunnel de lavage;104;2,85;296,4;47,99;154,17;142,23
0399400I;RONDELLE RESSORT;0;ISTOBTUNPD - PDR Tunnel de lavage;20;2,85;57;46,91;30,26;26,74
0416500I;ECROU;0;ISTOBTUNPD - PDR Tunnel de lavage;10;2,28;22,8;31,84;15,54;7,26
0470200I;RONDELLE PLATE DIN125 D 6 INOX;0;ISTOBTUNPD - PDR Tunnel de lavage;20;2,85;57;46,91;30,26;26,74
048.200M;COMPRESSEUR A AIR 200L MONO;0;COMP100 - Compresseur  LOCAL;5;10080;50400;46,26;27083,33;23316,67
